YEAR,TECHNOLOGY:Service,VALUE
2024,PSG,9399.249103
2025,PSG,9641.594886000004
2026,PSG,9441.123340000004
2027,PSG,9259.618566000003
2028,PSG,9103.066269000004
2029,PSG,8970.605250999999
2030,PSG,8861.034843000001
2031,PSG,8778.589870000002
2032,PSG,8720.650660000003
2033,PSG,8686.386237000002
2034,PSG,8679.186217000006
2035,PSG,8701.402765000003
2036,PSG,8749.776923000001
2037,PSG,8823.971123
2038,PSG,8754.516707000002
2039,PSG,8704.277148000003
2040,PSG,8675.478416000004
2041,PSG,8440.314043
2042,PSG,8007.034038
2043,PSG,7565.3607120000015
2044,PSG,7442.501374000002
2045,PSG,7319.662551000001
2046,PSG,7394.424081999997
2047,PSG,7282.340260999998
2048,PSG,7052.516908999998
2049,PSG,6807.295536999998
2050,PSG,6549.6942560000025
2021,PSG,8171.1939520000005
2022,PSG,8660.128794
2023,PSG,9178.231139999994
2021,FRT,4664.69035
2022,FRT,4827.21548
2023,FRT,4962.8347851875
2024,FRT,5103.6284211875
2025,FRT,5250.498147500001
2026,FRT,5289.954341450002
2027,FRT,5334.1501074000025
2028,FRT,5377.889152350001
2029,FRT,5427.064480300001
2030,FRT,5478.398728250001
2031,FRT,5293.47145015
2032,FRT,5108.441796100001
2033,FRT,4923.268749050002
2034,FRT,4738.387930000002
2035,FRT,4553.5475569499995
2036,FRT,4368.394050900001
2037,FRT,4183.57564385
2038,FRT,3998.7472598000013
2039,FRT,3813.9477247500017
2040,FRT,3628.859787700001
2041,FRT,3444.2209066500013
2042,FRT,3259.606178600002
2043,FRT,3074.9744425500007
2044,FRT,2890.0842895000005
2045,FRT,2702.6086764500014
2046,FRT,2707.6901413499895
2047,FRT,2369.7183662999996
2048,FRT,2056.389265218753
2049,FRT,1738.0974531750023
2050,FRT,1412.2426499999997
