YEAR,TECHNOLOGY:Service,VALUE
2027,PSG,10989.225847000005
2028,PSG,11192.343238
2029,PSG,11410.163937000003
2030,PSG,11640.909030000003
2031,PSG,11889.129891000006
2032,PSG,12152.333671
2033,PSG,12429.887678
2034,PSG,12724.725195
2035,PSG,13039.759125999999
2036,PSG,13371.452411000002
2037,PSG,13719.47417
2038,PSG,14089.687438000004
2039,PSG,14477.488323000003
2040,PSG,14886.297894000007
2041,PSG,15317.026537000002
2042,PSG,15601.950689
2043,PSG,15895.606013000004
2044,PSG,16205.940605999998
2045,PSG,16523.927690999997
2046,PSG,16890.189189
2047,PSG,17595.655119
2048,PSG,17687.424874999997
2049,PSG,17795.254831
2050,PSG,17924.170977
2021,PSG,8171.1939520000005
2022,PSG,8660.128794
2023,PSG,9178.231139999998
2024,PSG,9725.869126000001
2025,PSG,10308.437802000008
2026,PSG,10800.819908
2021,FRT,4664.690349999998
2022,FRT,4827.21548
2023,FRT,4992.77738
2024,FRT,5165.783006000001
2025,FRT,5343.497036
2026,FRT,5455.861459999999
2027,FRT,5570.079309999999
2028,FRT,5681.713802000001
2029,FRT,5796.352568999999
2030,FRT,5910.8728649999985
2031,FRT,6024.898282
2032,FRT,6139.872496999999
2033,FRT,5956.791739000002
2034,FRT,5773.836073000001
2035,FRT,5590.916469000002
2036,FRT,5407.669155000001
2037,FRT,5224.753842000001
2038,FRT,5041.814103000001
2039,FRT,4858.899489000001
2040,FRT,4675.536250000002
2041,FRT,4492.608409
2042,FRT,4309.7030890000015
2043,FRT,4126.765608000002
2044,FRT,3943.5675190000024
2045,FRT,3760.6423840000025
2046,FRT,3767.247454000002
2047,FRT,3429.2818890000017
2048,FRT,3086.007557000001
2049,FRT,2735.348663000041
2050,FRT,2381.5066349999825
