YEAR,TECHNOLOGY:Service,VALUE
2021,PSG,0.7256711417462
2022,PSG,0.7010715276689321
2023,PSG,0.7430863720575536
2024,PSG,0.7685570913764329
2025,PSG,0.7110345946551215
2043,PSG,0.06709514475409853
2026,PSG,0.8449798496081015
2027,PSG,0.6883439981645476
2028,PSG,0.716881524860338
2029,PSG,0.5748737325732284
2030,PSG,0.47877668800648365
2031,PSG,0.4689686960963873
2032,PSG,0.4052217705772616
2033,PSG,0.39294153756467554
2034,PSG,0.33944626734857974
2035,PSG,0.2881071380135072
2037,PSG,0.157144456047187
2036,PSG,0.1801153880619401
2038,PSG,0.1075406427147456
2021,FRT,1.6323117043740574
2022,FRT,1.6887849367887013
2023,FRT,1.7467745695872754
2024,FRT,1.806368602769779
2025,FRT,1.8680577956945017
2026,FRT,1.907807099805905
2027,FRT,1.94637838432066
2028,FRT,1.9809096521739131
2029,FRT,2.0198389438228115
2030,FRT,2.0598100822054106
2031,FRT,2.0996465058928053
2032,FRT,2.1415046462116294
2033,FRT,2.181650182047815
2034,FRT,2.182913039053801
2035,FRT,2.2208928619864925
2036,FRT,2.2538846119380582
2037,FRT,2.1788555439528126
2038,FRT,2.123459357285253
2039,FRT,1.908736698138192
2040,FRT,1.682929009669797
2041,FRT,1.4970021480017823
2042,FRT,1.2923592500353818
2043,FRT,1.120245600504835
2044,FRT,0.9151604994187865
2045,FRT,0.7092500949430305
2046,FRT,0.5035776108658119
2047,FRT,0.46026171473980104
2048,FRT,0.4144743719406125
2049,FRT,0.1974034083606556
2039,PSG,0.0769160767213114
2040,PSG,0.0663383178688524
2041,PSG,0.0665885590163934
2042,PSG,0.0668449036065573
2044,PSG,0.0673453859016393
2045,PSG,0.0675956270491803
2046,PSG,0.0678458681967212
2047,PSG,0.0680961093442622
2048,PSG,0.0683463504918032
2049,PSG,0.0685965916393442
