YEAR,TECHNOLOGY:Service,VALUE
2021,PSG,0.7256711417462
2022,PSG,0.6739187259836925
2023,PSG,0.6873070988275984
2024,PSG,0.7054630656985893
2025,PSG,0.7249216994120602
2026,PSG,0.6653081010514046
2027,PSG,1.0103024751355099
2028,PSG,0.9055936321846901
2029,PSG,0.792552787922395
2030,PSG,0.680147737328136
2031,PSG,0.5664394176560048
2032,PSG,0.5362968682655045
2033,PSG,0.5115796351143205
2034,PSG,0.7102133737373731
2035,PSG,0.6873560401133765
2036,PSG,0.6700263845303261
2037,PSG,0.5867349634297194
2038,PSG,0.4971704893510618
2039,PSG,0.3281614021240191
2021,FRT,1.6323117043740574
2022,FRT,1.6887849367887013
2023,FRT,1.7467745695872754
2024,FRT,1.8063686027697792
2025,FRT,1.8680577956945013
2026,FRT,1.915691336262651
2027,FRT,1.9634313487452262
2028,FRT,2.01480000762761
2029,FRT,2.0663226061854503
2030,FRT,2.1202835816289296
2031,FRT,2.175560240113867
2032,FRT,2.234472974013247
2033,FRT,2.25287840300987
2034,FRT,2.347786626262627
2035,FRT,2.379643959886624
2036,FRT,2.401973615469674
2037,FRT,2.4682650365702803
2038,FRT,2.5388295106489362
2039,FRT,2.6094846552098145
2040,FRT,2.6848123035437457
2041,FRT,2.7606312310943633
2042,FRT,2.7595461536606773
2043,FRT,2.755666885245903
2044,FRT,2.703633967868853
2045,FRT,2.6130173531894236
2046,FRT,2.3945897538508674
2047,FRT,2.3365392187023097
2048,FRT,2.319038263333717
2049,FRT,2.2587805121311475
2050,FRT,2.10560558557377
2051,FRT,2.1296055855737706
2052,FRT,2.1189549645901637
2053,FRT,2.108144535081967
2054,FRT,2.095176034098361
2055,FRT,2.083045987540983
2040,PSG,0.1018346536065573
2041,PSG,0.1065687840983606
2042,PSG,0.1114063236065573
2043,PSG,0.1163331147540983
2044,PSG,0.1213660321311474
2045,PSG,0.1264982347540982
2046,PSG,0.1317072029508196
2047,PSG,0.1318821295081967
2048,PSG,0.1320570560655738
2049,PSG,0.1322194878688524
2050,PSG,0.1323944144262295
2051,PSG,0.1323944144262295
2052,PSG,0.138045035409836
2053,PSG,0.1438554649180328
2054,PSG,0.1498239659016393
2055,PSG,0.1559540124590165
