YEAR,TECHNOLOGY:Service,VALUE
2021,PSG,0.7256711417462
2022,PSG,0.6732525032786884
2023,PSG,0.6866408761225941
2024,PSG,0.704796842993585
2025,PSG,0.7164167864024796
2026,PSG,0.6475651439363357
2027,PSG,0.9562097366314537
2028,PSG,0.8482553135680709
2029,PSG,0.7514016746082381
2030,PSG,0.6389391408377466
2031,PSG,0.5251995380508613
2032,PSG,0.4837965592254247
2033,PSG,0.4495424619628696
2034,PSG,0.46013748762799733
2035,PSG,0.3955194876279971
2036,PSG,0.3229598978844088
2037,PSG,0.4856387130232961
2038,PSG,0.4925566472330995
2039,PSG,0.2603782656365201
2021,FRT,1.6323117043740574
2022,FRT,1.6887849367887013
2023,FRT,1.7467745695872754
2024,FRT,1.806368602769779
2025,FRT,1.8680577956945017
2026,FRT,1.8984691697140228
2027,FRT,1.929293180237316
2028,FRT,1.9639900623829476
2029,FRT,1.9991309871136447
2030,FRT,2.036889186568539
2031,FRT,2.0762421731552827
2032,FRT,2.0869003956611265
2033,FRT,2.080899934122666
2034,FRT,2.1148625123720017
2035,FRT,2.113480512372002
2036,FRT,2.111040102115591
2037,FRT,1.850361286976703
2038,FRT,1.7384433527669005
2039,FRT,1.514784299976554
2040,FRT,1.2889766115081591
2041,FRT,1.094756942784726
2042,FRT,0.9001537482694373
2043,FRT,0.7015928200643088
2044,FRT,0.5023390813845491
2045,FRT,0.3006307949688375
2046,FRT,0.09739753447633391
2047,FRT,0.086864112725671
2048,FRT,0.086864112725671
2049,FRT,0.086864112725671
2040,PSG,0.0425578424590163
2041,PSG,0.0426148086885245
2042,PSG,0.0426717749180327
2043,PSG,0.0427246721311475
2044,PSG,0.0427816383606557
2045,PSG,0.0428386045901639
2046,PSG,0.0428915018032786
2047,PSG,0.0429484680327868
2048,PSG,0.043005434262295
2049,PSG,0.0430583314754098
