YEAR,TECHNOLOGY:Service,VALUE
2021,PSG,0.7256711417462
2022,PSG,0.7677823537558887
2023,PSG,0.80979719814451
2024,PSG,0.8573745633894847
2025,PSG,0.8788911922568079
2026,PSG,0.8256133596267299
2027,PSG,1.2396392669803595
2028,PSG,1.149895808421018
2029,PSG,1.0432628630111818
2030,PSG,0.9406059810774763
2031,PSG,0.833746117962722
2032,PSG,0.8050781961144062
2033,PSG,0.7829181845453196
2034,PSG,1.0569057929784436
2035,PSG,1.0366712723157296
2036,PSG,1.02291001084032
2037,PSG,0.9258905659922401
2038,PSG,0.6868780163582963
2039,PSG,0.4329622656027138
2040,PSG,0.2036614239077547
2041,PSG,0.1882700610311993
2042,PSG,0.1924513921787404
2021,FRT,1.6323117043740574
2022,FRT,1.6887849367887013
2023,FRT,1.7467745695872754
2024,FRT,1.806368602769779
2025,FRT,1.8680577956945017
2026,FRT,1.9070827073966732
2027,FRT,1.9463607330196406
2028,FRT,1.9893992311097497
2029,FRT,2.032727737870836
2030,FRT,2.0785812558936065
2031,FRT,2.1258985541146806
2032,FRT,2.1768902916860853
2033,FRT,2.1886802898326136
2034,FRT,2.2749435081247253
2035,FRT,2.3296830140836926
2036,FRT,2.387693583869301
2037,FRT,2.446569462771101
2038,FRT,2.509708218596951
2039,FRT,2.573096663368649
2040,FRT,2.553338368598756
2041,FRT,2.544865147989448
2042,FRT,2.538681276325201
2043,FRT,2.532133640039573
2044,FRT,2.530104033521191
2045,FRT,2.5273862058776166
2046,FRT,2.5276373759377635
2047,FRT,2.58062570352529
2048,FRT,2.5694834766072843
2049,FRT,2.517003743184346
2050,FRT,2.46370728528261
2051,FRT,2.4047384885422427
2052,FRT,2.1274420933338294
2053,FRT,1.8437668508817442
2054,FRT,1.842535525558312
2055,FRT,1.929329516956162
2043,PSG,0.1707936885245901
2044,PSG,0.1753390478688524
2045,PSG,0.1800667698360655
2046,PSG,0.1849444370491803
2047,PSG,0.1900003819672131
2048,PSG,0.1952042321311475
2049,PSG,0.2005427780327868
2050,PSG,0.2060400885245901
2051,PSG,0.2114509967213115
2052,PSG,0.2170703508196721
2053,PSG,0.2228929396721311
2054,PSG,0.2289100780327869
2055,PSG,0.23512524
