YEAR,TECHNOLOGY:Service,VALUE
2021,PSG,0.7256711417462
2022,PSG,0.7010715276689321
2023,PSG,0.7430863720575535
2024,PSG,0.7906637373025283
2025,PSG,0.7418165953330443
2026,PSG,0.8645887663640435
2027,PSG,0.686320109660025
2028,PSG,0.7051531080059322
2029,PSG,0.5609183261378766
2030,PSG,0.4643698156812023
2031,PSG,0.4448130754384575
2032,PSG,0.3839391048555797
2033,PSG,0.36243775880846985
2034,PSG,0.30696246827692475
2035,PSG,0.260762203681096
2037,PSG,0.3422596938084003
2038,PSG,0.3184746817927566
2039,PSG,0.1705553547382019
2036,PSG,0.219704707223777
2021,FRT,1.6323117043740574
2022,FRT,1.6887849367887013
2023,FRT,1.7467745695872754
2024,FRT,1.806368602769779
2025,FRT,1.8680577956945017
2026,FRT,1.890729920523036
2027,FRT,1.912838509239377
2028,FRT,1.9315819622310055
2029,FRT,1.9552076165216188
2030,FRT,1.980364388794538
2031,FRT,2.0059345208106687
2032,FRT,2.0339094358517085
2033,FRT,2.0607666327803886
2034,FRT,2.053572559317765
2035,FRT,2.0795294146614203
2036,FRT,2.1084688805068805
2037,FRT,1.9937403061915984
2038,FRT,1.9125253182072417
2039,FRT,1.6888662654168949
2040,FRT,1.4630585769485005
2041,FRT,1.2903537367577735
2042,FRT,1.1024792745119738
2043,FRT,0.9457225606893979
2044,FRT,0.7559866074730234
2045,FRT,0.5649216070586016
2046,FRT,0.3735307602832481
2047,FRT,0.34006522358069974
2048,FRT,0.3042083492447581
2049,FRT,0.1632423757377049
2040,PSG,0.0993747324590163
2041,PSG,0.0997495934426228
2042,PSG,0.100133597377049
2043,PSG,0.1005084583606556
2044,PSG,0.1008833193442622
2045,PSG,0.1012581803278687
2046,PSG,0.1016330413114753
2047,PSG,0.1020079022950819
2048,PSG,0.1023827632786884
2049,PSG,0.1027576242622949
