YEAR,TECHNOLOGY:Service,VALUE
2021,PSG,0.7256711417462
2022,PSG,0.7677823537558887
2023,PSG,0.80979719814451
2024,PSG,0.8573745633894846
2025,PSG,0.9069375223062079
2026,PSG,0.9253969546596433
2027,PSG,0.9468965350369998
2028,PSG,0.971415751779868
2029,PSG,0.9990233659401165
2030,PSG,1.0046566624333455
2031,PSG,1.012662228035626
2032,PSG,1.0414790171589332
2033,PSG,1.0730801330106796
2034,PSG,1.1079208207369804
2035,PSG,1.1464104711147425
2036,PSG,1.1885329694326328
2037,PSG,1.2069523641158026
2038,PSG,1.230386610090688
2039,PSG,1.255285849464388
2040,PSG,1.2836409251021905
2041,PSG,1.3243655519219557
2042,PSG,1.369291038330059
2043,PSG,1.4188672862343756
2044,PSG,1.4727031003278688
2045,PSG,1.557884729465431
2046,PSG,1.6492872123449744
2047,PSG,1.747329911988596
2048,PSG,1.8523645979187457
2049,PSG,1.9649224000427652
2050,PSG,2.0853898704918032
2051,PSG,2.2138783083392735
2052,PSG,2.3516249859586598
2053,PSG,2.4987118169208835
2054,PSG,2.6555390919600854
2055,PSG,2.8233623469565226
2021,FRT,1.6323117043740574
2022,FRT,1.6887849367887013
2023,FRT,1.7467745695872756
2024,FRT,1.8063686027697792
2025,FRT,1.8680577956945017
2026,FRT,1.914513028504045
2027,FRT,1.9632106036125965
2028,FRT,2.0146034481575943
2029,FRT,2.0683826133223646
2030,FRT,2.1236401777887473
2031,FRT,2.182551766662096
2032,FRT,2.2440935766223324
2033,FRT,2.3077898083038533
2034,FRT,2.3740801442479094
2035,FRT,2.4435125884089772
2036,FRT,2.5150670128781027
2037,FRT,2.5902044615110382
2038,FRT,2.668496015724667
2039,FRT,2.7498513990365194
2040,FRT,2.8347528950591894
2041,FRT,2.923298734318753
2042,FRT,3.014942146266282
2043,FRT,3.109123388683212
2044,FRT,3.2086453979194665
2045,FRT,3.3115306846565202
2046,FRT,3.417501011188811
2047,FRT,3.5290934133570997
2048,FRT,3.643760160133461
2049,FRT,3.762501553831527
2050,FRT,3.887409517232048
2051,FRT,4.0157757556908455
2052,FRT,4.14935120781023
2053,FRT,4.288585291166872
2054,FRT,4.431936280491796
2055,FRT,4.581779328013163
