YEAR,TECHNOLOGY:Type,VALUE
2021,COA,23.62195699308
2022,COA,23.621956993080016
2023,COA,23.62195699308
2024,COA,33.874093783080006
2025,COA,71.95345900308
2026,COA,71.95345900308001
2027,COA,81.96687448210129
2028,COA,81.96687448210132
2029,COA,81.96687448210133
2030,COA,81.96687448210129
2031,COA,81.96687448210129
2032,COA,81.96687448210135
2033,COA,81.96687448209937
2034,COA,81.96687448210133
2035,COA,81.96687448210132
2036,COA,81.96687448210133
2037,COA,81.96687448210132
2038,COA,81.96687448210135
2039,COA,81.96687448210135
2040,COA,81.96687448210135
2041,COA,81.96687448210132
2021,BIO,3.673313279999999
2022,BIO,3.6034799616000006
2023,BIO,3.6034799616
2024,BIO,3.6034799616000006
2025,BIO,3.6034799615999993
2026,BIO,3.6034799616000006
2027,BIO,3.67331328
2028,BIO,3.67331328
2029,BIO,3.67331328
2030,BIO,3.67331328
2031,BIO,3.67331328
2032,BIO,3.67331328
2033,BIO,3.67331328
2034,BIO,3.673313280000001
2035,BIO,4.384443502126282
2036,BIO,6.219460927324333
2037,BIO,9.827179327324332
2038,BIO,13.43489772732433
2039,BIO,16.550654527324326
2040,BIO,20.15837292732433
2041,BIO,23.110142527324328
2042,BIO,26.717860927324327
2043,BIO,30.32557932732433
2044,BIO,33.93329772732432
2045,BIO,35.015613247324325
2046,BIO,37.22509439999999
2047,BIO,37.2250944
2048,BIO,37.2250944
2049,BIO,37.2250944
2050,BIO,37.22509439999999
2042,COA,1151.02419485504
2043,COA,1151.0241948550402
2044,COA,1151.0241948550397
2045,COA,1151.02419485504
2046,COA,819.3116072926396
2047,COA,819.3116072926396
2048,COA,819.31160729264
2049,COA,819.3116072926398
2050,COA,819.3116072926397
2021,GAS,1207.5009397186325
2022,GAS,1478.295160726737
2023,GAS,1775.7355426738704
2024,GAS,1668.8507106553127
2025,GAS,1751.5845316370933
2026,GAS,1817.726222676156
2027,GAS,1888.753905969481
2028,GAS,1966.305161695269
2029,GAS,2051.2580588809487
2030,GAS,2143.1183574789006
2031,GAS,2243.0546210550247
2032,GAS,2352.1367177933985
2033,GAS,2470.012111135069
2034,GAS,2598.564616666952
2035,GAS,2739.0234804439115
2036,GAS,2891.130387478111
2037,GAS,3056.069077371025
