YEAR,TECHNOLOGY:Type,VALUE
2021,COA,23.62195699308
2022,COA,23.621956993080005
2023,COA,23.621956993080005
2024,COA,23.622722222222222
2025,COA,53.95119982030938
2026,COA,53.95119982030938
2027,COA,53.95119982030936
2028,COA,53.95119982030756
2029,COA,53.95119982030937
2030,COA,53.95119982030937
2031,COA,53.95119982030938
2032,COA,53.95119982030938
2033,COA,53.95119982030938
2034,COA,53.95119982030938
2035,COA,53.95119982030937
2036,COA,53.95119982030938
2037,COA,53.95119982030937
2038,COA,53.95119982030939
2039,COA,53.95119982030938
2040,COA,53.14655555555555
2041,COA,52.25877777777778
2042,COA,51.37361111111111
2043,COA,50.48844444444443
2044,COA,49.60327777777777
2045,COA,48.71549999999999
2046,COA,30.32924282722937
2047,COA,30.252333333333336
2048,COA,29.68050000000001
2049,COA,29.111277777777776
2050,COA,28.53944444444444
2051,COA,28.53944444444445
2052,COA,28.53944444444444
2053,COA,28.539444444444445
2054,COA,28.53944444444444
2055,COA,6.7366666666666655
2021,BIO,3.67331328
2022,BIO,3.67331328
2023,BIO,3.67331328
2024,BIO,3.673313280000001
2025,BIO,3.67331328
2026,BIO,3.67331328
2027,BIO,3.6733132799999977
2028,BIO,3.67331328
2029,BIO,3.67331328
2030,BIO,3.67331328
2031,BIO,3.67331328
2032,BIO,3.67331328
2033,BIO,3.67331328
2034,BIO,3.67331328
2035,BIO,3.67331328
2036,BIO,3.67331328
2037,BIO,3.67331328
2038,BIO,3.673313280000001
2039,BIO,3.18135168
2040,BIO,3.18135168
2041,BIO,2.525402880000001
2042,BIO,2.525402880000001
2043,BIO,2.525402880000001
2044,BIO,2.525402880000001
2021,GAS,234.48276115257585
2022,GAS,253.86439922712003
2023,GAS,251.96729329173607
2024,GAS,192.90628387760404
2025,GAS,168.78227011331398
2026,GAS,112.427993359584
2027,GAS,91.17579112196256
2028,GAS,69.21925791171604
2029,GAS,46.73994644090881
2030,GAS,23.63672342592
2021,DSL,827.9169608210148
2022,DSL,885.5070403185825
2023,DSL,1099.9299609117338
2024,DSL,1001.9416087518912
2025,DSL,1062.46469917004
2026,DSL,1113.0669289742093
2027,DSL,1144.3632142142822
2028,DSL,1155.0216215080331
2029,DSL,1186.9458931472864
2030,DSL,1210.7947451675818
2031,DSL,1240.127019873885
2032,DSL,1272.1110764952275
2033,DSL,1308.8888173178625
2034,DSL,1338.8725215767554
2035,DSL,1372.0621249404498
2036,DSL,1406.3030999266189
2037,DSL,1590.2781448050473
2038,DSL,1538.10458144906
2039,DSL,1292.8240538204022
2040,DSL,1002.637198566298
2041,DSL,907.2161844932216
2042,DSL,811.674882183055
2043,DSL,726.4752075867866
2044,DSL,626.9489510699493
2045,DSL,532.7650502579373
2046,DSL,427.98910497842735
2047,DSL,409.61268516667286
2048,DSL,389.40543823820633
2049,DSL,385.4721040950712
2050,DSL,377.3827095412128
2051,DSL,363.3364008802603
2052,DSL,277.5874936671426
2053,DSL,188.57453755704432
2054,DSL,96.22653886301808
2021,ETH,4.737025477829814
2022,ETH,4.466571828480001
2023,ETH,3.927697073724002
2024,ETH,3.3994739271000007
2025,ETH,2.8819066239240003
2026,ETH,3.185466825024
2027,ETH,3.409173710505
2028,ETH,3.297266675901001
2029,ETH,2.607577625548799
2030,ETH,1.5392453342975996
2021,BDL,16.725595168101304
2022,BDL,16.721319050815588
2023,BDL,17.343175549341215
2024,BDL,18.00512276461883
2025,BDL,18.49158041823647
2026,BDL,32.132203311649775
2027,BDL,43.57772747848043
2028,BDL,56.00874529951035
2029,BDL,67.37828734350263
2030,BDL,80.1914517217512
2031,BDL,91.35682154323582
2032,BDL,104.67266327901676
2033,BDL,116.43557484651312
2034,BDL,129.59781245728547
2035,BDL,141.01718510389298
2036,BDL,154.5602984108641
2037,BDL,183.28329727859176
2038,BDL,187.2292585889681
2039,BDL,163.5297158234197
2040,BDL,132.71119492473258
2041,BDL,125.14149442222926
2042,BDL,115.17509630882051
2043,BDL,106.7456748438121
2044,BDL,94.30052734780487
2045,BDL,82.54972156135068
2046,BDL,67.6090355936113
2047,BDL,66.36931175990343
2048,BDL,64.10723196239394
2049,BDL,64.85243102122996
2050,BDL,64.32117755626736
2051,BDL,60.10854011057424
2052,BDL,44.56213884433343
2053,BDL,29.36744165704777
2054,BDL,14.533510710835012
2021,JET,22.61024251199999
2022,JET,23.895258026310003
2023,JET,25.18027354062
2024,JET,26.465532931332
2025,JET,27.750548445642007
2026,JET,28.83027739158629
2027,JET,29.922462463895933
2028,JET,30.96714786846384
2029,JET,31.85953606353563
2030,JET,32.87062844554872
2031,JET,33.89895801955522
2032,JET,34.87476904841867
2033,JET,35.87065069491124
2034,JET,36.81109180866566
2035,JET,37.77451705598344
2036,JET,38.68045823884496
2037,JET,39.61143420352503
2038,JET,40.48210360741012
2039,JET,41.38063160742757
2040,JET,42.216256933658535
2041,JET,43.03371115145647
2042,JET,43.88313443689744
2043,JET,44.665542615937966
2044,JET,45.3319633582125
2045,JET,46.080542053606585
2046,JET,46.865891881589526
2047,JET,47.57942597417191
2048,JET,48.3325341074988
2049,JET,49.01102173020144
2050,JET,49.73147270415655
2051,JET,50.8146985886355
2052,JET,51.91137019207809
2053,JET,53.02230240654261
2054,JET,54.14729150901456
2055,JET,55.43051569144278
2021,ABF,0.5940831519999997
2022,ABF,0.6278468795100002
2023,ABF,0.66161060702
2024,ABF,0.6953807423719999
2025,ABF,0.7291444698820001
2026,ABF,1.2969446282994677
2027,ABF,1.8323473876412668
2028,ABF,2.4913109594968703
2029,ABF,3.094867956210539
2030,ABF,3.841861773680817
2031,ABF,4.543380632844726
2032,ABF,5.381515347325258
2033,ABF,6.167445439493846
2034,ABF,7.096681568488483
2035,ABF,7.967015488615897
2036,ABF,8.987522524276066
2037,ABF,9.942271330536208
2038,ABF,11.053894322593516
2039,ABF,12.093054424707708
2040,ABF,13.295841696476202
2041,ABF,14.545899423121345
2042,ABF,15.713442684189536
2043,ABF,17.054669561474
2044,ABF,18.24604096562017
2045,ABF,19.67527169137404
2046,ABF,21.008855794175066
2047,ABF,22.52925165311172
2048,ABF,23.947350620137463
2049,ABF,25.558916329350325
2050,ABF,27.06132917011616
2051,ABF,27.65076540901171
2052,ABF,28.247518121902868
2053,ABF,28.852030731456026
2054,ABF,29.464192382004583
2055,ABF,30.162457486806936
