YEAR,TECHNOLOGY:Type,VALUE
2021,COA,1.878
2022,COA,1.878
2023,COA,1.878
2024,COA,2.578
2025,COA,5.178
2026,COA,5.178
2027,COA,5.861700479118848
2028,COA,5.861700479118848
2029,COA,5.861700479118848
2030,COA,5.861700479118848
2031,COA,5.861700479118848
2032,COA,5.861700479118848
2033,COA,5.861700479118848
2034,COA,5.861700479118848
2035,COA,5.861700479118848
2036,COA,5.861700479118848
2037,COA,5.861700479118848
2038,COA,5.861700479118848
2039,COA,5.861700479118848
2040,COA,5.861700479118848
2041,COA,5.861700479118848
2042,COA,5.861700479118848
2043,COA,5.861700479118848
2044,COA,5.861700479118848
2045,COA,5.861700479118848
2021,BIO,0.1119999999999998
2022,BIO,0.1119999999999998
2023,BIO,0.1119999999999998
2024,BIO,0.1119999999999998
2025,BIO,0.1119999999999998
2026,BIO,0.1119999999999998
2027,BIO,0.1119999999999998
2028,BIO,0.1119999999999998
2029,BIO,0.1119999999999998
2030,BIO,0.1119999999999998
2031,BIO,0.1119999999999998
2032,BIO,0.1119999999999998
2033,BIO,0.1119999999999998
2034,BIO,0.1119999999999998
2035,BIO,0.1517276828430387
2036,BIO,0.2617276828430386
2037,BIO,0.3717276828430386
2038,BIO,0.48172768284303874
2039,BIO,0.5767276828430387
2040,BIO,0.6867276828430386
2021,SOL,0.0559999999999997
2022,SOL,0.0559999999999997
2023,SOL,0.0559999999999997
2024,SOL,0.0559999999999997
2025,SOL,0.0559999999999997
2026,SOL,0.0559999999999997
2027,SOL,0.3565684139329223
2028,SOL,0.4560315997131779
2029,SOL,0.604247464404561
2030,SOL,1.1001330391277362
2031,SOL,1.3201330391277366
2032,SOL,1.3201330391277366
2033,SOL,1.4192197076783142
2034,SOL,1.5153889346608769
2035,SOL,1.6503950155637401
2036,SOL,1.958108449967452
2037,SOL,2.184535119615377
2038,SOL,2.5675617590031368
2039,SOL,2.8650308625955887
2040,SOL,3.350549846269874
2041,SOL,4.216265961141144
2042,SOL,4.662667699492228
2043,SOL,6.115270863492237
2046,COA,3.983700479118847
2047,COA,3.983700479118847
2048,COA,3.983700479118847
2049,COA,3.983700479118847
2050,COA,3.983700479118847
2021,HYD,9.013300000000001
2022,HYD,9.889800000000003
2023,HYD,10.820300000000003
2024,HYD,11.355100000000006
2025,HYD,11.385100000000005
2026,HYD,11.485100000000005
2027,HYD,11.485100000000005
2028,HYD,11.485100000000005
2029,HYD,11.485100000000005
2030,HYD,11.539216786913196
2031,HYD,12.211270694286146
2032,HYD,12.614173764152751
2033,HYD,12.965024815262737
2034,HYD,13.415624606959343
2035,HYD,13.77630634925172
2036,HYD,14.054231295597251
2037,HYD,14.495200891137964
2038,HYD,14.867327126164776
2039,HYD,15.299927019755557
2040,HYD,15.620392320631252
2041,HYD,15.96462456181458
2042,HYD,16.2892403303558
2043,HYD,16.758446573643933
2044,HYD,17.367728712561636
2045,HYD,17.875347745076844
2046,HYD,18.83631740647031
2047,HYD,19.77691068455443
2048,HYD,20.50326271552688
2049,HYD,20.97444484174232
2050,HYD,20.97444484174232
2041,BIO,0.7767276828430386
2042,BIO,0.8867276828430388
2043,BIO,0.9967276828430388
2044,BIO,1.1067276828430388
2044,SOL,6.856381123833879
2045,SOL,8.313229473353584
2046,SOL,9.919695759300376
2047,SOL,11.247164794848784
2048,SOL,13.18981505215774
2049,SOL,16.008821048495026
2050,SOL,23.711909153567603
2039,WND,0.2221767541958556
2040,WND,0.3876980473350408
2041,WND,0.6564192916123193
2042,WND,0.7102395156204174
2043,WND,0.8276245323431488
2044,WND,1.044611513351658
2045,WND,1.4152100553409903
2046,WND,1.8116292015632485
2047,WND,2.376149798744818
2048,WND,2.9558928197243373
2049,WND,3.9084430670918335
2050,WND,5.270419854885783
2045,BIO,1.135
2046,BIO,1.135
2047,BIO,1.135
2048,BIO,1.135
2049,BIO,1.135
2050,BIO,1.135
