YEAR,TECHNOLOGY:Type,VALUE
2021,COA,1.878
2022,COA,1.878
2023,COA,1.878
2024,COA,2.2245344551681834
2025,COA,4.824534455168183
2026,COA,4.824534455168183
2027,COA,4.824534455168183
2028,COA,4.824534455168183
2029,COA,4.824534455168183
2030,COA,4.824534455168183
2031,COA,4.824534455168183
2032,COA,4.824534455168183
2033,COA,4.824534455168183
2034,COA,4.824534455168183
2035,COA,4.824534455168183
2036,COA,4.824534455168183
2037,COA,4.824534455168183
2038,COA,4.824534455168183
2039,COA,4.824534455168183
2040,COA,4.824534455168183
2041,COA,4.824534455168183
2042,COA,4.824534455168183
2043,COA,4.824534455168183
2044,COA,4.824534455168183
2045,COA,4.824534455168183
2021,BIO,0.1119999999999998
2022,BIO,0.1119999999999998
2023,BIO,0.1119999999999998
2024,BIO,0.1119999999999998
2025,BIO,0.1119999999999998
2026,BIO,0.1119999999999998
2027,BIO,0.1119999999999998
2028,BIO,0.1119999999999998
2029,BIO,0.1119999999999998
2030,BIO,0.1119999999999998
2031,BIO,0.1119999999999998
2032,BIO,0.1119999999999998
2033,BIO,0.1119999999999998
2034,BIO,0.1119999999999998
2035,BIO,0.1302327657662753
2036,BIO,0.2402327657662752
2037,BIO,0.35023276576627516
2038,BIO,0.46023276576627525
2039,BIO,0.5552327657662754
2040,BIO,0.6652327657662753
2021,SOL,0.0559999999999997
2022,SOL,0.0559999999999997
2023,SOL,0.0559999999999997
2024,SOL,0.0559999999999997
2025,SOL,0.0559999999999997
2026,SOL,0.0559999999999997
2027,SOL,0.3565684139329225
2028,SOL,0.4560315997131739
2029,SOL,0.5553605766177465
2030,SOL,1.0561070501274643
2031,SOL,1.2761070501274632
2032,SOL,1.3101178487491305
2033,SOL,1.382948734157726
2034,SOL,1.4933846891208833
2035,SOL,1.6522109431690488
2036,SOL,1.913607546916205
2037,SOL,2.1825496438979615
2038,SOL,2.4815894823595577
2039,SOL,2.7629421803860836
2040,SOL,3.3107587093133213
2041,SOL,4.19428341014583
2042,SOL,4.621357121722395
2043,SOL,6.2218301338150415
2046,COA,2.946534455168183
2047,COA,2.946534455168183
2048,COA,2.946534455168183
2049,COA,2.946534455168183
2050,COA,2.946534455168183
2021,HYD,9.013300000000001
2022,HYD,9.889800000000003
2023,HYD,10.820300000000003
2024,HYD,11.355100000000006
2025,HYD,11.385100000000005
2026,HYD,11.485100000000005
2027,HYD,11.485100000000005
2028,HYD,11.485100000000005
2029,HYD,11.485100000000005
2030,HYD,11.535100000000005
2031,HYD,12.046505556633523
2032,HYD,12.408523256537247
2033,HYD,12.759021847250665
2034,HYD,13.13351689234294
2035,HYD,13.492888544593272
2036,HYD,13.798077288971076
2037,HYD,14.14618077171696
2038,HYD,14.494010577020587
2039,HYD,14.919988483177304
2040,HYD,15.188127758575884
2041,HYD,15.40789662340018
2042,HYD,15.654409225025173
2043,HYD,16.043862525055147
2044,HYD,16.646438610369486
2045,HYD,17.25643515621027
2046,HYD,18.06055141820082
2047,HYD,18.92393379966593
2048,HYD,19.693600899673328
2049,HYD,20.18849767048264
2050,HYD,20.578979734877844
2041,BIO,0.7552327657662753
2042,BIO,0.8652327657662753
2043,BIO,0.9752327657662754
2044,BIO,1.0852327657662753
2044,SOL,6.927532949406079
2045,SOL,8.00354803810191
2046,SOL,9.400908680056
2047,SOL,10.499685904772672
2048,SOL,12.37766729560301
2049,SOL,15.127852059138668
2050,SOL,21.291331481983622
2039,WND,0.255056937430772
2040,WND,0.3983039909326008
2041,WND,0.6563502078599965
2042,WND,0.71024277117668
2043,WND,0.8443210490369096
2044,WND,1.0849797654908333
2045,WND,1.3622658955245348
2046,WND,1.7537393353801605
2047,WND,2.0655485820183745
2048,WND,2.559240756057
2049,WND,3.3596888426051885
2050,WND,4.4058812852207465
2045,BIO,1.1182327657662754
2046,BIO,1.1349999999999998
2047,BIO,1.1349999999999998
2048,BIO,1.1349999999999998
2049,BIO,1.1349999999999998
2050,BIO,1.1349999999999998
