YEAR,COMMODITY:Type,VALUE
2041,,2.047859150685264
2042,,2.324303491747318
2043,,2.603946004230193
2044,,2.8613196589058068
2045,,3.138980619537014
2046,,3.444816292036446
2047,,3.4798971838066595
2048,,3.5138600708676964
2049,,3.5485393837037424
2050,,4.712481763249599
2051,,4.722640769983965
2052,,4.7319718543627305
2053,,4.737408500026509
2054,,4.737100779169909
2055,,4.740072950397396
2032,,0.0489702472244263
2033,,0.0987490549563933
2034,,0.204860408323572
2035,,0.311450596977366
2036,,0.3802803943566367
2037,,0.5340697123030288
2038,,0.8480865234367921
2039,,1.2894301265074821
2040,,1.77195291969885
2021,GASETH,8.018256335403727
2022,GASETH,7.641540000000001
2023,GASETH,6.792468
2024,GASETH,5.943396000000001
2025,GASETH,5.094354000000001
2021,DSLBDL,34.018482551226874
2022,DSLBDL,34.38796321028183
2023,DSLBDL,36.06782076980759
2024,DSLBDL,37.870202662819366
2025,DSLBDL,38.51337859803072
2026,DSLBDL,39.1563198767262
2027,DSLBDL,38.630028250354485
2028,DSLBDL,37.52704938712781
2029,DSLBDL,37.077433788086296
2030,DSLBDL,36.4894258316222
2031,DSLBDL,35.97149273037215
2032,DSLBDL,35.71017761188148
2033,DSLBDL,35.47847672452079
2034,DSLBDL,35.19264099812531
2035,DSLBDL,34.90500567737821
2037,DSLBDL,34.5240988872753
2038,DSLBDL,32.662679273505006
2039,DSLBDL,28.676448977842874
2022,ELCY,1.6247788753690793
2023,ELCY,2.456716732454717
2024,ELCY,3.268591496237311
2025,ELCY,4.98266898925038
2026,ELCY,6.165060181201448
2027,ELCY,7.624613086536642
2028,ELCY,9.112187343128847
2029,ELCY,10.639472935477016
2030,ELCY,12.20062461567395
2031,ELCY,13.76282780757639
2032,ELCY,14.743609969239703
2033,ELCY,15.758474074583283
2034,ELCY,16.81572323773279
2035,ELCY,17.920173892201078
2036,ELCY,19.066225168713814
2037,ELCY,20.138341647816617
2038,ELCY,21.896211475721113
2039,ELCY,25.199212530599674
2040,ELCY,28.87884534165191
2041,ELCY,30.756606957739343
2042,ELCY,33.44686288345844
2043,ELCY,35.9448410212956
2044,ELCY,39.461382685393964
2045,ELCY,42.4868432582484
2046,ELCY,45.68513724506614
2047,ELCY,47.5863398173223
2048,ELCY,48.50316260632955
2049,ELCY,52.122812619371715
2050,ELCY,55.35226136056276
2051,ELCY,57.73755562135419
2052,ELCY,60.243415617174186
2053,ELCY,62.87667425811706
2054,ELCY,65.62825338195312
2055,ELCY,68.51907087352886
2026,GASETH,3.3494400000000004
2027,GASETH,2.679555
2028,GASETH,2.0096670000000003
2029,GASETH,1.339776
2030,GASETH,0.669888
2036,DSLBDL,34.79232425144948
2040,DSLBDL,23.632603770243453
2041,DSLBDL,20.30904214596382
2042,DSLBDL,17.38100792196125
2043,DSLBDL,14.83396168734859
2044,DSLBDL,11.866736089619918
2045,DSLBDL,8.968956180134668
2046,DSLBDL,5.923562617700183
2047,DSLBDL,5.42972826868383
2048,DSLBDL,4.881913994542888
2049,DSLBDL,2.623552376946688
2021,JETABF,1.16168
2022,JETABF,1.2277021499999998
2023,JETABF,1.2937243
2024,JETABF,1.3597589799999996
2025,JETABF,1.4257811299999998
2026,JETABF,1.4528916196414343
2027,JETABF,1.4811543378306875
2028,JETABF,1.5107452938735175
2029,JETABF,1.53299791511811
2030,JETABF,1.5654326914379084
2031,JETABF,1.5993460634374996
2032,JETABF,1.5825875795590143
2033,JETABF,1.565917450852713
2034,JETABF,1.4891070232041344
2035,JETABF,1.4119948681653742
2036,JETABF,1.376047713126615
2037,JETABF,1.3401005580878549
2038,JETABF,1.3041534030490953
2039,JETABF,1.268206248010336
2040,JETABF,1.1940425929715761
2041,JETABF,1.1963119379328164
2042,JETABF,1.198581282894056
2043,JETABF,1.200850627855297
2044,JETABF,1.2031199728165374
2045,JETABF,1.2053893177777775
2046,JETABF,1.2076586627390178
2047,JETABF,1.2099280077002583
2048,JETABF,1.2121973526614984
2049,JETABF,1.2144666976227385
2034,AEF,0.1571015401254386
2035,AEF,0.2405023914883136
2036,AEF,0.2957079271824546
2037,AEF,0.35211543104284626
2038,AEF,0.40955503571210977
2039,AEF,0.4681606030587102
2040,AEF,0.5548872875850381
2041,AEF,0.5884632536759458
2042,AEF,0.6230413254333484
2043,AEF,0.6586074342115196
2044,AEF,0.689439134189783
2045,AEF,0.7268567398607759
2046,AEF,0.7652005275811335
2047,AEF,0.8043641241449198
2048,AEF,0.8443547996680253
2049,AEF,0.8850662056219408
2050,AEF,1.790488937862229
2051,AEF,1.8345635473257162
2052,AEF,1.8798310901887727
2053,AEF,1.9262021848335817
2054,AEF,1.9736950430418942
2055,AEF,2.0279698209090906
2032,AEF,0.0370705883606557
2033,AEF,0.075208724262295
