YEAR,TECHNOLOGY:SubSector,VALUE
2021,EXPE,16.816456610393228
2022,EXPE,20.752083505782625
2023,EXPE,16.99047017279381
2024,EXPE,3.452043130461196
2025,EXPE,2.5447497265854766
2026,EXPE,0.6318316339310409
2029,EXPE,2.5603239487610217
2030,EXPE,16.68987107353433
2031,EXPE,35.685306322800315
2032,EXPE,51.81747709810832
2033,EXPE,57.31553541230976
2034,EXPE,61.100435814582355
2035,EXPE,68.2976977437964
2036,EXPE,69.81525203365457
2037,EXPE,72.57906365481024
2038,EXPE,74.02023734225341
2039,EXPE,78.69068553777247
2040,EXPE,86.20253371404343
2041,EXPE,86.13677975509134
2042,EXPE,88.99172176495338
2043,EXPE,95.6299566412623
2044,EXPE,97.42437555739983
2045,EXPE,98.30251494626238
2046,EXPE,106.43832380694178
2047,EXPE,108.28750818109206
2048,EXPE,110.7164018496158
2049,EXPE,119.28644064660554
2050,EXPE,126.8027038330126
2051,EXPE,130.083130755837
2052,EXPE,130.54820041104364
2053,EXPE,130.13747025934512
2054,EXPE,129.66694882018658
2055,EXPE,123.47159830207758
