YEAR,TECHNOLOGY:SubSector,VALUE
2021,EXPE,16.816456610393228
2022,EXPE,21.087954799521135
2023,EXPE,17.175447119833795
2024,EXPE,3.4635693962320984
2025,EXPE,3.008532788321993
2026,EXPE,1.3412343231719188
2027,EXPE,0.0298055224041942
2029,EXPE,3.1593766579150904
2030,EXPE,17.637433040062376
2031,EXPE,36.54621792722967
2032,EXPE,52.65782044904271
2033,EXPE,58.52728903309941
2034,EXPE,62.276612381946016
2035,EXPE,70.72247082112126
2036,EXPE,72.09399250525578
2037,EXPE,72.89658271744145
2038,EXPE,74.20591060825373
2039,EXPE,79.89475296171429
2040,EXPE,87.28858243023524
2041,EXPE,86.3940479634658
2042,EXPE,87.60936157768755
2043,EXPE,92.65071862587504
2044,EXPE,92.75474796908676
2045,EXPE,91.86186391610227
2046,EXPE,98.47754604746444
2047,EXPE,99.68498871119316
2048,EXPE,101.27783445703179
2049,EXPE,109.17207009100159
2050,EXPE,116.45164699597555
2051,EXPE,118.75376070385465
2052,EXPE,116.4859394647664
2053,EXPE,114.03556110988023
2054,EXPE,111.41338478671834
2055,EXPE,102.68350907581012
