YEAR,TECHNOLOGY:SubSector,VALUE
2021,EXPE,16.816456610393235
2022,EXPE,20.60447091184872
2023,EXPE,16.6893281319928
2024,EXPE,3.1469271681177258
2025,EXPE,1.6223584510366926
2026,EXPE,0.0741822707062024
2029,EXPE,1.5090963598871776
2030,EXPE,14.787174782140081
2031,EXPE,33.545754048251986
2032,EXPE,49.703862521216834
2033,EXPE,54.54218916554659
2034,EXPE,58.200471779191524
2035,EXPE,65.34689914519923
2036,EXPE,66.48313147354605
2037,EXPE,67.23720043561802
2038,EXPE,68.66986577112607
2039,EXPE,73.60931266500425
2040,EXPE,80.69324453134482
2041,EXPE,79.89502103823854
2042,EXPE,79.25888379290429
2043,EXPE,84.47697324654942
2044,EXPE,85.01149974115822
2045,EXPE,84.74451362026086
2046,EXPE,92.67333265383867
2047,EXPE,93.91129189037984
2048,EXPE,95.90541924297531
2049,EXPE,103.42514579160981
2050,EXPE,109.24171253474059
2051,EXPE,111.99865390491794
2052,EXPE,111.14827462485724
2053,EXPE,110.19489050512155
2054,EXPE,109.15546742790553
2055,EXPE,104.19253201942763
