YEAR,TECHNOLOGY:SubSector,VALUE
2021,EXPE,16.816456610393224
2022,EXPE,21.23545870413014
2023,EXPE,17.476589160634802
2024,EXPE,3.651914944567301
2025,EXPE,2.771556171335271
2026,EXPE,1.1564617651129363
2029,EXPE,3.1767938334456454
2030,EXPE,17.696853148442802
2031,EXPE,36.99517758356923
2032,EXPE,53.292385184922665
2033,EXPE,58.91674408612346
2034,EXPE,62.80073488627729
2035,EXPE,71.63994079420208
2036,EXPE,73.31479088782021
2037,EXPE,74.13598297873202
2038,EXPE,75.45854689175587
2039,EXPE,81.1728467156796
2040,EXPE,88.62767929520616
2041,EXPE,88.19605094913769
2042,EXPE,89.88171148954567
2043,EXPE,95.15330696693445
2044,EXPE,95.48677348123584
2045,EXPE,94.80989047585095
2046,EXPE,101.81480023901742
2047,EXPE,103.0414332151546
2048,EXPE,104.81710930939309
2049,EXPE,112.68269186010842
2050,EXPE,119.89598377311461
2051,EXPE,122.15220883687205
2052,EXPE,120.09946281878725
2053,EXPE,117.88564548866822
2054,EXPE,115.50664092479963
2055,EXPE,107.72497592939212
