YEAR,TECHNOLOGY:SubSector,VALUE
2021,EXPE,16.816456610393228
2022,EXPE,20.752083505782632
2023,EXPE,16.990470172793803
2024,EXPE,3.4520431304611883
2025,EXPE,1.8463623510038596
2026,EXPE,0.3293373430814537
2029,EXPE,2.1239339619951187
2030,EXPE,15.72919657646795
2031,EXPE,34.7515469910921
2032,EXPE,51.00685739597321
2033,EXPE,56.88075228196373
2034,EXPE,60.74375972173199
2035,EXPE,68.27453721814423
2036,EXPE,69.95665014170056
2037,EXPE,72.34266555108877
2038,EXPE,72.99753644299457
2039,EXPE,77.57518336186698
2040,EXPE,83.68958613505811
2041,EXPE,83.58289466200537
2042,EXPE,85.17131149536391
2043,EXPE,91.64279125209417
2044,EXPE,92.98764910891225
2045,EXPE,93.73510676158399
2046,EXPE,102.68506740858915
2047,EXPE,104.44044606698213
2048,EXPE,106.47421734671903
2049,EXPE,114.83324258073854
2050,EXPE,121.98796420612166
2051,EXPE,124.5660380061415
2052,EXPE,122.6112489109178
2053,EXPE,120.54360555678652
2054,EXPE,118.59608844263158
2055,EXPE,114.02903149131461
