YEAR,TECHNOLOGY:SubSector,VALUE
2021,EXPE,16.816456610393224
2022,EXPE,20.752083505782622
2023,EXPE,16.9904701727938
2024,EXPE,3.452043130461194
2025,EXPE,2.675006779340791
2026,EXPE,0.9318239863904962
2029,EXPE,2.8788308246741963
2030,EXPE,17.280310777077858
2031,EXPE,36.282588777408385
2032,EXPE,52.49984065996501
2033,EXPE,57.80618923709251
2034,EXPE,61.68253312896478
2035,EXPE,69.61679442448275
2036,EXPE,71.25004091887503
2037,EXPE,74.0902425739207
2038,EXPE,75.61415311855617
2039,EXPE,81.09989113086225
2040,EXPE,87.55886689167038
2041,EXPE,88.05661365086988
2042,EXPE,91.2923305053346
2043,EXPE,98.0533164291879
2044,EXPE,99.97311446473245
2045,EXPE,100.95622255475737
2046,EXPE,109.57904905421904
2047,EXPE,111.64617328974015
2048,EXPE,114.01284605982737
2049,EXPE,122.69740837753835
2050,EXPE,130.3880177404168
2051,EXPE,133.77722743697336
2052,EXPE,134.32796888794863
2053,EXPE,134.00701443324812
2054,EXPE,133.6210796562453
2055,EXPE,127.63123464601638
