YEAR,TECHNOLOGY:SubSector,VALUE
2021,MIN,27.295270273080003
2022,MIN,27.295270273080003
2023,MIN,27.29527027308
2024,MIN,27.296035502222214
2025,MIN,34.14421471752444
2026,MIN,34.14421471752445
2027,MIN,34.14421471752445
2028,MIN,34.144214717524456
2029,MIN,34.144214717524434
2030,MIN,34.14421471752444
2031,MIN,34.14421471752444
2032,MIN,34.144214717524434
2033,MIN,34.14421471752444
2034,MIN,34.14421471752445
2035,MIN,34.14421471752444
2036,MIN,34.14421471752444
2037,MIN,34.14421471752448
2038,MIN,34.14421471752444
2039,MIN,32.410129457777785
2040,MIN,29.754629457777785
2041,MIN,26.440569546666673
2042,MIN,23.78245843555556
2043,MIN,21.126958435555558
2044,MIN,18.468847324444443
2045,MIN,13.285333333333332
2046,MIN,6.848944444444444
2047,MIN,5.136055555555555
2048,MIN,3.4257777777777783
2049,MIN,1.712888888888889
2021,IMP,1107.0666682835215
2022,IMP,1216.587388924089
2023,IMP,1436.207042054261
2024,IMP,1275.7540485768673
2025,IMP,1314.0940788662108
2026,IMP,1347.9865524670493
2027,IMP,1383.3133614922247
2028,IMP,1420.5973509540886
2029,IMP,1459.4521664228687
2030,IMP,1501.001118808805
2031,IMP,1543.8638026594049
2032,IMP,1625.8692761720563
2033,IMP,1712.4881659401603
2034,IMP,1804.0297594831434
2035,IMP,1899.3868287602215
2036,IMP,1978.2580448139893
2037,IMP,2049.651261776343
2038,IMP,2124.128544771137
2039,IMP,2196.4620623334617
2040,IMP,2265.9194860330845
2041,IMP,2336.965430977186
2042,IMP,2410.134870953254
2043,IMP,2485.4700354596025
2044,IMP,2562.620016022389
2045,IMP,2614.302092437982
2046,IMP,2666.8666430632657
2047,IMP,2753.206608520916
2048,IMP,2801.9352540760947
2049,IMP,2833.6893062691593
2050,IMP,2829.335889106256
2051,IMP,2875.9051103400493
2052,IMP,2871.3138626820755
2053,IMP,2865.1037795494103
2054,IMP,2852.119604127176
2055,IMP,2828.8976850216422
