YEAR,TECHNOLOGY:SubSector,VALUE
2021,MIN,27.29435215795276
2022,MIN,27.224518839552747
2023,MIN,27.22451883955276
2024,MIN,27.22543695468001
2025,MIN,52.78368320963152
2026,MIN,52.85351652803152
2027,MIN,52.85351652803153
2028,MIN,52.85351652803152
2029,MIN,52.85351652803152
2030,MIN,52.85351652803152
2031,MIN,52.853516528031506
2032,MIN,52.85351652803152
2033,MIN,52.8535165280315
2034,MIN,52.8535165280315
2035,MIN,54.265626691468206
2036,MIN,54.3308953280315
2037,MIN,54.66036372803152
2038,MIN,54.98768104535434
2039,MIN,54.82518784535432
2040,MIN,55.154656245354346
2041,MIN,54.828175845354345
2042,MIN,55.15764424535434
2043,MIN,55.484961562677164
2044,MIN,55.81442996267717
2045,MIN,53.61849548267716
2046,MIN,46.56079321889764
2047,MIN,44.22686851417323
2048,MIN,41.89294380944882
2049,MIN,39.55901910472441
2050,MIN,37.22509440000002
2021,IMP,2262.82853338221
2022,IMP,2617.8202759388337
2023,IMP,3084.0529877855065
2024,IMP,2782.3745529145363
2025,IMP,2919.451547177159
2026,IMP,2962.4925077128673
2027,IMP,2998.535906990892
2028,IMP,3000.832849449497
2029,IMP,3011.624209211572
2030,IMP,3018.747778322553
2031,IMP,3052.6567192939547
2032,IMP,3061.1411441467308
2033,IMP,3035.0616282084634
2034,IMP,3015.5376592374237
2035,IMP,2952.5812487515996
2036,IMP,2875.7178482178656
2037,IMP,2799.668545036558
2038,IMP,2727.473730379151
2039,IMP,2653.5514952701187
2040,IMP,2582.819509824372
2041,IMP,2513.5722314755553
2042,IMP,2364.932298962713
2043,IMP,2228.9558330837986
2044,IMP,2093.6196194392314
2045,IMP,1958.5287525895524
2046,IMP,1883.2262806216302
2047,IMP,1755.126992341561
2048,IMP,1629.797405556887
2049,IMP,1529.224541096522
2050,IMP,1423.2111219758272
