YEAR,TECHNOLOGY:SubSector,VALUE
2021,MIN,27.29527027308
2022,MIN,27.295270273080003
2023,MIN,27.295270273080003
2024,MIN,27.296035502222225
2025,MIN,57.62451310030938
2026,MIN,57.62451310030938
2027,MIN,57.62451310030936
2028,MIN,57.62451310030756
2029,MIN,57.62451310030937
2030,MIN,57.62451310030937
2031,MIN,57.62451310030938
2032,MIN,57.62451310030938
2033,MIN,57.62451310030938
2034,MIN,57.62451310030938
2035,MIN,57.62451310030937
2036,MIN,57.62451310030938
2037,MIN,57.62451310030937
2038,MIN,57.62451310030939
2039,MIN,57.132551500309376
2040,MIN,56.32790723555555
2041,MIN,54.78418065777778
2042,MIN,53.89901399111111
2043,MIN,53.013847324444434
2044,MIN,52.12868065777777
2045,MIN,48.71549999999999
2046,MIN,30.32924282722937
2047,MIN,30.252333333333336
2048,MIN,29.68050000000001
2049,MIN,29.111277777777776
2050,MIN,28.53944444444444
2051,MIN,28.53944444444445
2052,MIN,28.53944444444444
2053,MIN,28.539444444444445
2054,MIN,28.53944444444444
2055,MIN,6.7366666666666655
2021,IMP,1107.0666682835217
2022,IMP,1185.082435330818
2023,IMP,1399.010010974175
2024,IMP,1243.413402994918
2025,IMP,1281.100149241038
2026,IMP,1290.939814490353
2027,IMP,1314.2807163767675
2028,IMP,1317.0053502231212
2029,IMP,1338.626108576993
2030,IMP,1352.8746558687803
2031,IMP,1369.9261800695208
2032,IMP,1417.040024169988
2033,IMP,1467.3624882987808
2034,IMP,1512.378107411195
2035,IMP,1558.8208425889422
2036,IMP,1608.531379100604
2037,IMP,1823.1151476177004
2038,IMP,1776.869837968032
2039,IMP,1509.8274556759575
2040,IMP,1190.8604921211652
2041,IMP,1089.9372894900287
2042,IMP,986.4465556129626
2043,IMP,894.9410946080108
2044,IMP,784.8274827415869
2045,IMP,681.0705855642686
2046,IMP,563.4728882478032
2047,IMP,546.0906745538599
2048,IMP,525.7925549282365
2049,IMP,524.8944731758529
2050,IMP,518.4966889717529
2051,IMP,501.9104049884818
2052,IMP,402.30852082545704
2053,IMP,299.81631235209073
2054,IMP,194.37153346487224
2055,IMP,85.59297317824971
