YEAR,TECHNOLOGY:SubSector,VALUE
2021,MIN,27.29527027308
2022,MIN,27.295270273080003
2023,MIN,27.29527027308
2024,MIN,27.29527027308
2025,MIN,59.99872510908002
2026,MIN,68.80350141108
2027,MIN,70.105238125659
2028,MIN,70.10523812565897
2029,MIN,70.10523812565897
2030,MIN,70.10523812565897
2031,MIN,70.10523812565897
2032,MIN,70.10523812565897
2033,MIN,70.10523812565894
2034,MIN,70.10523812565894
2035,MIN,70.10523812565897
2036,MIN,70.10523812565897
2037,MIN,70.10523812565897
2038,MIN,70.10523812565897
2039,MIN,69.61327652565897
2040,MIN,69.61327652565897
2041,MIN,68.95732772565897
2042,MIN,68.95732772565896
2043,MIN,68.957327725659
2044,MIN,68.95732772565881
2045,MIN,66.43192484565901
2046,IMP,2215.4155020601743
2047,IMP,2271.2611004173446
2048,IMP,2327.1762198395654
2049,IMP,2359.1168292023995
2050,IMP,2418.547195379129
2051,IMP,2479.8800750187665
2052,IMP,2543.932740756204
2053,IMP,2610.668422423686
2054,IMP,2679.2651539253993
2055,IMP,2291.8054598905524
2021,IMP,1107.066668283522
2022,IMP,1185.082435330818
2023,IMP,1399.0100109741752
2024,IMP,1243.413402994918
2025,IMP,1292.1487603561986
2026,IMP,1288.6081159566643
2027,IMP,1293.09249175554
2028,IMP,1298.8589438105703
2029,IMP,1285.8034719367574
2030,IMP,1289.2838440509697
2031,IMP,1292.254391767239
2032,IMP,1326.3185451536885
2033,IMP,1365.8656701867951
2034,IMP,1398.2631649157724
2035,IMP,1438.7479231170757
2036,IMP,1478.180789036245
2037,IMP,1674.030364975482
2038,IMP,1693.5826059579347
2039,IMP,1537.7287525119584
2040,IMP,1355.7447764596736
2041,IMP,1389.3288073619872
2042,IMP,1423.4255337402767
2043,IMP,1458.9372396387823
2044,IMP,1494.4957300378253
2045,IMP,1544.4868083781394
