YEAR:Period,CostType,VALUE
2020-2050,CAP,132520.43137782114
,CAP,31413.4672930884
2020-2050,FIX,49605.42309540293
,FIX,10647.751675274423
2020-2050,VAR,-82220.27144227308
,VAR,-40608.26412717952
