YEAR:Period,CostType,VALUE
2020-2050,CAP,156028.79798392818
,CAP,45959.92463440482
2020-2050,FIX,55913.90638625858
,FIX,13611.05929324014
2020-2050,VAR,-63857.18397477886
,VAR,-31295.704571737322
