YEAR:Period,CostType,VALUE
2020-2050,CAP,135908.0418918645
,CAP,29716.835255378282
2020-2050,FIX,51452.763570282106
,FIX,11004.36086980191
2020-2050,VAR,-89125.97029457994
,VAR,-40273.02713401332
