YEAR:Period,CostType,VALUE
2020-2050,CAP,151175.5681048327
,CAP,35779.20205833255
2020-2050,FIX,51847.9480871763
,FIX,11320.935390886787
2020-2050,VAR,-61545.82500269692
,VAR,-33543.57566827869
