YEAR:Period,CostType,VALUE
2020-2050,CAP,130305.9807429779
,CAP,35406.676561555796
2020-2050,FIX,49331.79138799919
,FIX,11211.918011266609
2020-2050,VAR,-66988.5114715552
,VAR,-37079.44545311897
