YEAR:Period,CostType,VALUE
2020-2050,CAP,151687.2335192857
,CAP,43310.76322300865
2020-2050,FIX,54593.605972601814
,FIX,13246.708624633895
2020-2050,VAR,-64935.27979287188
,VAR,-31906.556269545683
