YEAR:Period,CostType,VALUE
2020-2050,CAP,235598.25357520403
,CAP,75717.89177119965
2020-2050,FIX,64863.855542551915
,FIX,17076.93464478451
2020-2050,VAR,-73268.72650813029
,VAR,-31126.36667702767
