YEAR:Period,CostType,VALUE
2020-2050,CAP,131518.4355652758
,CAP,32208.405227281728
2020-2050,FIX,51503.40278090527
,FIX,11358.89250918629
2020-2050,VAR,-89249.20042101978
,VAR,-40581.44558946779
