YEAR:Period,CostType,VALUE
2020-2050,CAP,151382.0292141811
,CAP,35778.36528949664
2020-2050,FIX,51729.888781745925
,FIX,11321.022867534615
2020-2050,VAR,-61824.96015276424
,VAR,-33571.43126812315
