YEAR:Period,CostType,VALUE
2020-2050,CAP,177935.8318511465
,CAP,42338.665164775426
2020-2050,FIX,50279.5133724771
,FIX,11297.121411471358
2020-2050,VAR,-60369.88231434174
,VAR,-33560.412820354846
