YEAR:Period,CostType,VALUE
2020-2050,CAP,146034.2679431985
,CAP,39016.10012937518
2020-2050,FIX,49771.96813209397
,FIX,11716.79605211395
2020-2050,VAR,-52059.27228694841
,VAR,-31931.67747797724
