YEAR:Period,CostType,VALUE
2020-2050,CAP,143268.67459542758
,CAP,35202.590479650156
2020-2050,FIX,53074.41223142076
,FIX,11941.283028267917
2020-2050,VAR,-84247.43232370642
,VAR,-37789.624750896786
