YEAR:Period,CostType,VALUE
2020-2050,CAP,230462.27939924286
,CAP,79280.85700159792
2020-2050,FIX,66617.42240492602
,FIX,18269.54456069266
2020-2050,VAR,-42485.88253518847
,VAR,-23839.03673963825
