YEAR:Period,CostType,VALUE
2020-2050,CAP,221421.60844109394
,CAP,49750.913009342985
2020-2050,FIX,55959.21062268635
,FIX,12748.546724559203
2020-2050,VAR,-63624.3332622577
,VAR,-30197.090524722174
