YEAR:Period,CostType,VALUE
2020-2050,CAP,142067.54984265132
,CAP,41493.802420052234
2020-2050,FIX,50985.625330456576
,FIX,12765.74072505887
2020-2050,VAR,-45386.6274735179
,VAR,-28395.424322811064
