YEAR:Period,CostType,VALUE
2020-2050,CAP,144175.4662382996
,CAP,34511.80208989412
2020-2050,FIX,50656.93616757881
,FIX,11039.25509003304
2020-2050,VAR,-64991.07855960404
,VAR,-35247.839912944
