YEAR:Period,CostType,VALUE
2020-2050,CAP,169205.7399627808
,CAP,39470.210625800435
2020-2050,FIX,48453.067104884554
,FIX,11155.904085549475
2020-2050,VAR,-56579.58282906524
,VAR,-31443.24450893834
