YEAR:Period,CostType,VALUE
2020-2050,CAP,148221.05968926707
,CAP,34385.869332435475
2020-2050,FIX,53773.1098486089
,FIX,11880.766925835042
2020-2050,VAR,-81778.71444140386
,VAR,-37202.73366261257
