YEAR:Period,CostType,VALUE
2020-2050,CAP,145703.05625275872
,CAP,43517.395961191854
2020-2050,FIX,52896.761233405894
,FIX,12973.30238645547
2020-2050,VAR,-56999.476280888
,VAR,-31101.890768937326
