YEAR:Period,CostType,VALUE
2020-2050,CAP,163808.0495779219
,CAP,32708.494007102792
2020-2050,FIX,51746.94683009651
,FIX,11377.428656654447
2020-2050,VAR,-86296.94574024438
,VAR,-35662.72298601731
