YEAR:Period,CostType,VALUE
2020-2050,CAP,177658.33838006487
,CAP,46312.06432039866
2020-2050,FIX,56982.71103084609
,FIX,13727.46873436389
2020-2050,VAR,-75932.82641365014
,VAR,-31790.432250808175
