YEAR:Period,CostType,VALUE
2020-2050,CAP,134148.7646436574
,CAP,35483.47557210013
2020-2050,FIX,49899.361751586795
,FIX,11678.754313906613
2020-2050,VAR,-66038.0318523286
,VAR,-36407.54580266479
