YEAR:Period,CostType,VALUE
2020-2050,CAP,145552.37293767493
,CAP,39334.37923851976
2020-2050,FIX,52623.26036112395
,FIX,11982.021650266315
2020-2050,VAR,-72117.30769944144
,VAR,-36364.73636264887
