YEAR:Period,CostType,VALUE
2020-2050,CAP,155570.46538982142
,CAP,42940.47983565829
2020-2050,FIX,54894.87550544656
,FIX,12579.242927167072
2020-2050,VAR,-67715.83829129364
,VAR,-34296.609337254224
