YEAR:Period,CostType,VALUE
2020-2050,CAP,139593.01284719398
,CAP,37695.68099382663
2020-2050,FIX,49779.64152753046
,FIX,11648.874791841754
2020-2050,VAR,-48770.79532386553
,VAR,-31544.730427210117
