YEAR:Period,CostType,VALUE
2020-2050,CAP,175834.5162176754
,CAP,58314.89250426658
2020-2050,FIX,59027.99061900539
,FIX,14946.767615218858
2020-2050,VAR,-54694.25813023765
,VAR,-30572.420249712224
