YEAR:Period,CostType,VALUE
2020-2050,CAP,256784.083454273
,CAP,78719.50004883361
2020-2050,FIX,62840.06660177843
,FIX,16367.164691154121
2020-2050,VAR,-83971.42862254921
,VAR,-33927.94498690864
