YEAR:Period,CostType,VALUE
2020-2050,CAP,156434.48657430065
,CAP,37864.4910363729
2020-2050,FIX,49778.000089045985
,FIX,11096.06715714995
2020-2050,VAR,-84341.65218508431
,VAR,-39453.57008773271
