YEAR:Period,CostType,VALUE
2020-2050,CAP,168694.79535635025
,CAP,33503.86168105778
2020-2050,FIX,52291.461579873874
,FIX,11337.883757055595
2020-2050,VAR,-87072.00264130604
,VAR,-35645.74178143654
