YEAR:Period,CostType,VALUE
2020-2050,CAP,171954.74945801738
,CAP,40231.449652010684
2020-2050,FIX,50082.90367387164
,FIX,11428.621108114343
2020-2050,VAR,-68218.24569008565
,VAR,-33838.8301747274
