YEAR:Period,CostType,VALUE
2020-2050,CAP,145194.0361612394
,CAP,40377.56196900395
2020-2050,FIX,52607.53305132249
,FIX,12811.105430724525
2020-2050,VAR,-56942.408454815086
,VAR,-31766.379034214086
