YEAR:Period,CostType,VALUE
2020-2050,CAP,148818.59283273492
,CAP,38226.69793339196
2020-2050,FIX,55036.9919321692
,FIX,12974.927621458572
2020-2050,VAR,-77255.38570907932
,VAR,-34264.89633848382
