YEAR:Period,CostType,VALUE
2020-2050,CAP,142851.57325070043
,CAP,32645.538390202055
2020-2050,FIX,52150.943796258114
,FIX,11173.093294791426
2020-2050,VAR,-88359.33488363089
,VAR,-39019.18184148798
