YEAR:Period,CostType,VALUE
2020-2050,CAP,198831.7421709984
,CAP,57569.60754921456
2020-2050,FIX,59469.86838258325
,FIX,14431.174874871715
2020-2050,VAR,-40724.69010892825
,VAR,-27914.752628022434
