YEAR:Period,CostType,VALUE
2020-2050,CAP,124248.21520143008
,CAP,33177.4077534635
2020-2050,FIX,47226.64651656851
,FIX,10811.479092700221
2020-2050,VAR,-58641.940494713206
,VAR,-35766.99329489965
