YEAR:Period,CostType,VALUE
2020-2050,CAP,267542.0942729931
,CAP,83236.73040572461
2020-2050,FIX,60301.19784848228
,FIX,16337.077681112214
2020-2050,VAR,-50917.69469145991
,VAR,-27798.977042931743
