YEAR:Period,CostType,VALUE
2020-2050,CAP,150692.75086110152
,CAP,43472.77088070681
2020-2050,FIX,52895.326455857336
,FIX,13200.977970526375
2020-2050,VAR,-41547.054960546724
,VAR,-26909.620875736076
