YEAR:Period,CostType,VALUE
2020-2050,CAP,136287.80927832596
,CAP,37152.17665728857
2020-2050,FIX,53386.23776070372
,FIX,12686.74703192676
2020-2050,VAR,-82229.9304658717
,VAR,-35086.278557551246
