YEAR:Period,CostType,VALUE
2020-2050,CAP,130782.37511298161
,CAP,36103.59564123189
2020-2050,FIX,48981.63372766388
,FIX,11821.112090049171
2020-2050,VAR,-52391.97526293398
,VAR,-32806.646041309854
