YEAR:Period,CostType,VALUE
2020-2050,CAP,144313.49355009993
,CAP,38403.51617666945
2020-2050,FIX,53426.63110488386
,FIX,12054.49661956713
2020-2050,VAR,-84071.49299712565
,VAR,-37598.85879063807
