YEAR:Period,CostType,VALUE
2020-2050,CAP,239242.40003313666
,CAP,69794.59243181885
2020-2050,FIX,59400.9319147591
,FIX,14923.672043190583
2020-2050,VAR,-76387.98607501663
,VAR,-34289.7607620718
